medicineOfficialName,urlKusurinoShiori
アイピーディカプセル100,https://www.rad-ar.or.jp/siori/search/result?n=9459
アイピーディカプセル50,https://www.rad-ar.or.jp/siori/search/result?n=9458
アイピーディドライシロップ5%,https://www.rad-ar.or.jp/siori/search/result?n=9460
アイファガン点眼液0.1％,https://www.rad-ar.or.jp/siori/search/result?n=33843
アイベータ配合点眼液,https://www.rad-ar.or.jp/siori/search/result?n=47183
アイミクス配合錠HD,https://www.rad-ar.or.jp/siori/search/result?n=35353
アイミクス配合錠LD,https://www.rad-ar.or.jp/siori/search/result?n=35352
アイモビーグ皮下注70mgペン,https://www.rad-ar.or.jp/siori/search/result?n=49348
アイラミド配合懸濁性点眼液,https://www.rad-ar.or.jp/siori/search/result?n=47791
アイリーア8mg硝子体内注射液114.3mg/mL［中心窩下脈絡膜新生血管を伴う加齢黄斑変性］,https://www.rad-ar.or.jp/siori/search/result?n=51705
アイリーア8mg硝子体内注射液114.3mg/mL［中心窩下脈絡膜新生血管を伴う加齢黄斑変性］,https://www.rad-ar.or.jp/siori/search/result?n=51726
アイリーア8mg硝子体内注射液114.3mg/mL［糖尿病黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=51742
アイリーア8mg硝子体内注射液114.3mg/mL［糖尿病黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=51706
アイリーア8mg硝子体内注射用キット114.3mg/mL［中心窩下脈絡膜新生血管を伴う加齢黄斑変性］,https://www.rad-ar.or.jp/siori/search/result?n=52417
アイリーア8mg硝子体内注射用キット114.3mg/mL［中心窩下脈絡膜新生血管を伴う加齢黄斑変性］,https://www.rad-ar.or.jp/siori/search/result?n=52463
アイリーア8mg硝子体内注射用キット114.3mg/mL［糖尿病黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=52418
アイリーア8mg硝子体内注射用キット114.3mg/mL［糖尿病黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=52464
アイリーア硝子体内注射液40mg/mL［血管新生緑内障］,https://www.rad-ar.or.jp/siori/search/result?n=47713
アイリーア硝子体内注射液40mg/mL［血管新生緑内障］,https://www.rad-ar.or.jp/siori/search/result?n=47752
アイリーア硝子体内注射液40mg/mL［中心窩下脈絡膜新生血管を伴う加齢黄斑変性］,https://www.rad-ar.or.jp/siori/search/result?n=43451
アイリーア硝子体内注射液40mg/mL［中心窩下脈絡膜新生血管を伴う加齢黄斑変性］,https://www.rad-ar.or.jp/siori/search/result?n=43294
アイリーア硝子体内注射液40mg/mL［糖尿病黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=43454
アイリーア硝子体内注射液40mg/mL［糖尿病黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=43296
アイリーア硝子体内注射液40mg/mL［病的近視における脈絡膜新生血管］,https://www.rad-ar.or.jp/siori/search/result?n=43453
アイリーア硝子体内注射液40mg/mL［病的近視における脈絡膜新生血管］,https://www.rad-ar.or.jp/siori/search/result?n=43297
アイリーア硝子体内注射液40mg/mL［未熟児網膜症］,https://www.rad-ar.or.jp/siori/search/result?n=50577
アイリーア硝子体内注射液40mg/mL［未熟児網膜症］,https://www.rad-ar.or.jp/siori/search/result?n=50578
アイリーア硝子体内注射液40mg/mL［網膜静脈閉塞症に伴う黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=43295
アイリーア硝子体内注射液40mg/mL［網膜静脈閉塞症に伴う黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=43452
アイリーア硝子体内注射用キット40mg/mL［血管新生緑内障］,https://www.rad-ar.or.jp/siori/search/result?n=47749
アイリーア硝子体内注射用キット40mg/mL［血管新生緑内障］,https://www.rad-ar.or.jp/siori/search/result?n=47757
アイリーア硝子体内注射用キット40mg/mL［中心窩下脈絡膜新生血管を伴う加齢黄斑変性］,https://www.rad-ar.or.jp/siori/search/result?n=47753
アイリーア硝子体内注射用キット40mg/mL［中心窩下脈絡膜新生血管を伴う加齢黄斑変性］,https://www.rad-ar.or.jp/siori/search/result?n=47733
アイリーア硝子体内注射用キット40mg/mL［糖尿病黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=47756
アイリーア硝子体内注射用キット40mg/mL［糖尿病黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=47730
アイリーア硝子体内注射用キット40mg/mL［病的近視における脈絡膜新生血管］,https://www.rad-ar.or.jp/siori/search/result?n=47729
アイリーア硝子体内注射用キット40mg/mL［病的近視における脈絡膜新生血管］,https://www.rad-ar.or.jp/siori/search/result?n=47755
アイリーア硝子体内注射用キット40mg/mL［網膜静脈閉塞症に伴う黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=47754
アイリーア硝子体内注射用キット40mg/mL［網膜静脈閉塞症に伴う黄斑浮腫］,https://www.rad-ar.or.jp/siori/search/result?n=47732
アウィクリ注　フレックスタッチ総量300単位,https://www.rad-ar.or.jp/siori/search/result?n=51942
アウドラザイム点滴静注液2.9mg,https://www.rad-ar.or.jp/siori/search/result?n=50845
亜鉛華（10%）単軟膏「コザカイ・M」,https://www.rad-ar.or.jp/siori/search/result?n=37993
亜鉛華（10％）単軟膏シオエ,https://www.rad-ar.or.jp/siori/search/result?n=14837
亜鉛華（10％）単軟膏「ニッコー」,https://www.rad-ar.or.jp/siori/search/result?n=10055
亜鉛華（10％）単軟膏「ニッコー」,https://www.rad-ar.or.jp/siori/search/result?n=9528
亜鉛華（10％）単軟膏「ホエイ」,https://www.rad-ar.or.jp/siori/search/result?n=49952
亜鉛華（10%）単軟膏「ヨシダ」,https://www.rad-ar.or.jp/siori/search/result?n=5153
亜鉛華デンプン「コザカイ・M」,https://www.rad-ar.or.jp/siori/search/result?n=45257
亜鉛華軟膏「コザカイ・M」,https://www.rad-ar.or.jp/siori/search/result?n=37994
亜鉛華軟膏シオエ,https://www.rad-ar.or.jp/siori/search/result?n=14892
亜鉛華軟膏「日医工」,https://www.rad-ar.or.jp/siori/search/result?n=35929
亜鉛華軟膏「ニッコー」,https://www.rad-ar.or.jp/siori/search/result?n=17892
亜鉛華軟膏〈ハチ〉,https://www.rad-ar.or.jp/siori/search/result?n=10230
亜鉛華軟膏＜ハチ＞,https://www.rad-ar.or.jp/siori/search/result?n=11136
亜鉛華軟膏「ホエイ」,https://www.rad-ar.or.jp/siori/search/result?n=49953
亜鉛華軟膏「ヨシダ」,https://www.rad-ar.or.jp/siori/search/result?n=5155
アカルボース錠100mg「NIG」,https://www.rad-ar.or.jp/siori/search/result?n=50675
アカルボース錠100mg「YD」,https://www.rad-ar.or.jp/siori/search/result?n=15244
アカルボース錠100mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=16481
アカルボース錠50mg「NIG」,https://www.rad-ar.or.jp/siori/search/result?n=50674
アカルボース錠50mg「YD」,https://www.rad-ar.or.jp/siori/search/result?n=15243
アカルボース錠50mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=16480
アガルシダーゼ　ベータBS点滴静注35mg「JCR」,https://www.rad-ar.or.jp/siori/search/result?n=50277
アガルシダーゼ　ベータBS点滴静注5mg「JCR」,https://www.rad-ar.or.jp/siori/search/result?n=50276
アキネトン細粒1％,https://www.rad-ar.or.jp/siori/search/result?n=8276
アキネトン錠1mg,https://www.rad-ar.or.jp/siori/search/result?n=8277
アキネトン注射液5mg,https://www.rad-ar.or.jp/siori/search/result?n=30509
アキャルックス点滴静注250mg,https://www.rad-ar.or.jp/siori/search/result?n=48847
アクアチムクリーム1％,https://www.rad-ar.or.jp/siori/search/result?n=12232
アクアチム軟膏1％,https://www.rad-ar.or.jp/siori/search/result?n=12231
アクアチムローション1％,https://www.rad-ar.or.jp/siori/search/result?n=12233
アクセノン末,https://www.rad-ar.or.jp/siori/search/result?n=8272
アクタリット錠100mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=14284
アクチット輸液（200mLバッグ）,https://www.rad-ar.or.jp/siori/search/result?n=51509
アクチット輸液（500mLバッグ）,https://www.rad-ar.or.jp/siori/search/result?n=51383
アクチバシン注1200万［急性心筋梗塞］,https://www.rad-ar.or.jp/siori/search/result?n=36982
アクチバシン注1200万［虚血性脳血管障害急性期］,https://www.rad-ar.or.jp/siori/search/result?n=36985
アクチバシン注2400万［急性心筋梗塞］,https://www.rad-ar.or.jp/siori/search/result?n=36984
アクチバシン注2400万［虚血性脳血管障害急性期］,https://www.rad-ar.or.jp/siori/search/result?n=36986
アクチバシン注600万［急性心筋梗塞］,https://www.rad-ar.or.jp/siori/search/result?n=36964
アクチバシン注600万［虚血性脳血管障害急性期］,https://www.rad-ar.or.jp/siori/search/result?n=36970
アクテムラ点滴静注用200mg,https://www.rad-ar.or.jp/siori/search/result?n=30383
アクテムラ点滴静注用400mg,https://www.rad-ar.or.jp/siori/search/result?n=30384
アクテムラ点滴静注用80mg,https://www.rad-ar.or.jp/siori/search/result?n=30385
アクテムラ皮下注162mgオートインジェクター,https://www.rad-ar.or.jp/siori/search/result?n=36862
アクテムラ皮下注162mgシリンジ,https://www.rad-ar.or.jp/siori/search/result?n=36865
アクトシン注射用300mg,https://www.rad-ar.or.jp/siori/search/result?n=45854
アクトシン軟膏3%,https://www.rad-ar.or.jp/siori/search/result?n=75
アクトスOD錠15,https://www.rad-ar.or.jp/siori/search/result?n=43787
アクトスOD錠30,https://www.rad-ar.or.jp/siori/search/result?n=43788
アクトス錠15,https://www.rad-ar.or.jp/siori/search/result?n=43785
アクトス錠30,https://www.rad-ar.or.jp/siori/search/result?n=43786
アクトネル錠17.5mg［骨粗鬆症］,https://www.rad-ar.or.jp/siori/search/result?n=13999
アクトネル錠17.5mg［骨ページェット病］,https://www.rad-ar.or.jp/siori/search/result?n=13998
アクトネル錠2.5mg,https://www.rad-ar.or.jp/siori/search/result?n=9787
アクトネル錠75mg,https://www.rad-ar.or.jp/siori/search/result?n=35700
アクトヒブ,https://www.rad-ar.or.jp/siori/search/result?n=50794
アクプラ静注用100mg,https://www.rad-ar.or.jp/siori/search/result?n=42673
アクプラ静注用10mg,https://www.rad-ar.or.jp/siori/search/result?n=42668
アクプラ静注用50mg,https://www.rad-ar.or.jp/siori/search/result?n=42672
アクラシノン注射用20mg,https://www.rad-ar.or.jp/siori/search/result?n=49829
アクロマイシントローチ15mg,https://www.rad-ar.or.jp/siori/search/result?n=47620
アクロマイシン軟膏3％,https://www.rad-ar.or.jp/siori/search/result?n=47623
アクロマイシンVカプセル250mg,https://www.rad-ar.or.jp/siori/search/result?n=47578
アクロマイシンVカプセル50mg,https://www.rad-ar.or.jp/siori/search/result?n=47618
アクロマイシン末,https://www.rad-ar.or.jp/siori/search/result?n=47627
アグリリンカプセル0.5mg,https://www.rad-ar.or.jp/siori/search/result?n=46339
アコアラン静注用1800,https://www.rad-ar.or.jp/siori/search/result?n=44657
アコアラン静注用600,https://www.rad-ar.or.jp/siori/search/result?n=41632
アコニップパップ70mg,https://www.rad-ar.or.jp/siori/search/result?n=13975
アコニンサン錠,https://www.rad-ar.or.jp/siori/search/result?n=13113
アコニンサン錠,https://www.rad-ar.or.jp/siori/search/result?n=16213
アコファイド錠100mg,https://www.rad-ar.or.jp/siori/search/result?n=36467
アサコール錠400mg,https://www.rad-ar.or.jp/siori/search/result?n=16704
アザクタム注射用0.5g,https://www.rad-ar.or.jp/siori/search/result?n=30016
アザクタム注射用1g,https://www.rad-ar.or.jp/siori/search/result?n=30015
アザシチジン注射用100mg「オーハラ」,https://www.rad-ar.or.jp/siori/search/result?n=50436
アザシチジン注射用100mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=49936
アザシチジン注射用150mg「NK」,https://www.rad-ar.or.jp/siori/search/result?n=50546
アザシチジン注射用150mg「オーハラ」,https://www.rad-ar.or.jp/siori/search/result?n=50535
アザシチジン注射用100mg「NK」,https://www.rad-ar.or.jp/siori/search/result?n=50240
アザニン錠50mg［移植］,https://www.rad-ar.or.jp/siori/search/result?n=51947
アザニン錠50mg［クローン病・潰瘍性大腸炎・自己免疫性肝炎］,https://www.rad-ar.or.jp/siori/search/result?n=51945
アザニン錠50mg［リウマチ性疾患］,https://www.rad-ar.or.jp/siori/search/result?n=51946
アザルフィジンEN錠250mg,https://www.rad-ar.or.jp/siori/search/result?n=41507
アザルフィジンEN錠500mg,https://www.rad-ar.or.jp/siori/search/result?n=41508
アシクロビルDS80%「NK」,https://www.rad-ar.or.jp/siori/search/result?n=47529
アシクロビルDS80%「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=19151
アシクロビル顆粒40％「CH」,https://www.rad-ar.or.jp/siori/search/result?n=38050
アシクロビル顆粒40%「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=19141
アシクロビル顆粒40%「タカタ」,https://www.rad-ar.or.jp/siori/search/result?n=39026
アシクロビル顆粒40%「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=37353
アシクロビル眼軟膏3％「日点」,https://www.rad-ar.or.jp/siori/search/result?n=48104
アシクロビル眼軟膏3%「ニットー」,https://www.rad-ar.or.jp/siori/search/result?n=41326
アシクロビルクリーム5％「ラクール」,https://www.rad-ar.or.jp/siori/search/result?n=45758
アシクロビルシロップ8%「タカタ」,https://www.rad-ar.or.jp/siori/search/result?n=39347
アシクロビル錠200mg「CH」,https://www.rad-ar.or.jp/siori/search/result?n=38051
アシクロビル錠200mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=19139
アシクロビル錠200mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=37354
アシクロビル錠400mg「CH」,https://www.rad-ar.or.jp/siori/search/result?n=38052
アシクロビル錠400mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=19140
アシクロビル錠400mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=37355
アシクロビル点滴静注液250mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=37487
アシクロビル点滴静注液250mg「日医工」,https://www.rad-ar.or.jp/siori/search/result?n=44419
アシクロビル点滴静注液250mgバッグ100mL「アイロム」,https://www.rad-ar.or.jp/siori/search/result?n=37308
アシクロビル点滴静注用250mg「NIG」,https://www.rad-ar.or.jp/siori/search/result?n=49947
アシクロビル点滴静注用250mg「アイロム」,https://www.rad-ar.or.jp/siori/search/result?n=37307
アシクロビル点滴静注用250mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=42135
アシクロビル内服ゼリー200mg「日医工」,https://www.rad-ar.or.jp/siori/search/result?n=44404
アシクロビル軟膏5%「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=37330
アシクロビル軟膏5％「ラクール」,https://www.rad-ar.or.jp/siori/search/result?n=45760
アシテアダニ舌下錠100単位（IR）,https://www.rad-ar.or.jp/siori/search/result?n=40767
アシテアダニ舌下錠300単位（IR）,https://www.rad-ar.or.jp/siori/search/result?n=40768
アシノン錠150mg,https://www.rad-ar.or.jp/siori/search/result?n=12712
アシノン錠75mg,https://www.rad-ar.or.jp/siori/search/result?n=12711
アシクロビル内服ゼリー800mg「日医工」,https://www.rad-ar.or.jp/siori/search/result?n=44405
亜硝酸アミル「AFP」,https://www.rad-ar.or.jp/siori/search/result?n=45991
アジスロマイシン細粒小児用10％「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=36936
アジスロマイシン小児用細粒10％「タカタ」,https://www.rad-ar.or.jp/siori/search/result?n=38042
アジスロマイシン小児用錠100mg「タカタ」,https://www.rad-ar.or.jp/siori/search/result?n=38044
アジスロマイシン錠250mg「DSEP」,https://www.rad-ar.or.jp/siori/search/result?n=37643
アジスロマイシン錠250mg「F」,https://www.rad-ar.or.jp/siori/search/result?n=38255
アジスロマイシン錠250mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=37628
アジスロマイシン錠250mg「タカタ」,https://www.rad-ar.or.jp/siori/search/result?n=38049
アジスロマイシン錠250mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=36938
アジスロマイシン錠500mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=36939
アジマイシン点眼液1%,https://www.rad-ar.or.jp/siori/search/result?n=47100
アジャストAコーワ錠40mg,https://www.rad-ar.or.jp/siori/search/result?n=245
アジョビ皮下注225mgオートインジェクター,https://www.rad-ar.or.jp/siori/search/result?n=50664
アジョビ皮下注225mgシリンジ,https://www.rad-ar.or.jp/siori/search/result?n=49410
アジルサルタンOD錠10mg「杏林」,https://www.rad-ar.or.jp/siori/search/result?n=50946
アジルサルタンOD錠10mg「ケミファ」,https://www.rad-ar.or.jp/siori/search/result?n=51299
アジルサルタンOD錠10mg「ケミファ」,https://www.rad-ar.or.jp/siori/search/result?n=51122
アジルサルタンOD錠10mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=50973
アジルサルタンOD錠10mg「日新」,https://www.rad-ar.or.jp/siori/search/result?n=51070
アジルサルタンOD錠10mg「フェルゼン」,https://www.rad-ar.or.jp/siori/search/result?n=51169
アジルサルタンOD錠20mg「杏林」,https://www.rad-ar.or.jp/siori/search/result?n=50947
アジルサルタンOD錠20mg「ケミファ」,https://www.rad-ar.or.jp/siori/search/result?n=51812
アジルサルタンOD錠20mg「ケミファ」,https://www.rad-ar.or.jp/siori/search/result?n=51163
アジルサルタンOD錠20mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=50976
アジルサルタンOD錠20mg「日新」,https://www.rad-ar.or.jp/siori/search/result?n=51071
アジルサルタンOD錠20mg「フェルゼン」,https://www.rad-ar.or.jp/siori/search/result?n=51166
アジルサルタンOD錠40mg「杏林」,https://www.rad-ar.or.jp/siori/search/result?n=50948
アジルサルタンOD錠40mg「ケミファ」,https://www.rad-ar.or.jp/siori/search/result?n=51304
アジルサルタンOD錠40mg「ケミファ」,https://www.rad-ar.or.jp/siori/search/result?n=51164
アジルサルタンOD錠40mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=50977
アジルサルタンOD錠40mg「日新」,https://www.rad-ar.or.jp/siori/search/result?n=51072
アジルサルタンOD錠40mg「フェルゼン」,https://www.rad-ar.or.jp/siori/search/result?n=51165
アジルサルタンOD錠10mg「DSEP」,https://www.rad-ar.or.jp/siori/search/result?n=51101
アジルサルタンOD錠10mg「明治」,https://www.rad-ar.or.jp/siori/search/result?n=51134
アジルサルタンOD錠20mg「DSEP」,https://www.rad-ar.or.jp/siori/search/result?n=51102
アジルサルタンOD錠20mg「明治」,https://www.rad-ar.or.jp/siori/search/result?n=51133
アジルサルタンOD錠40mg「DSEP」,https://www.rad-ar.or.jp/siori/search/result?n=51103
アジルサルタンOD錠40mg「明治」,https://www.rad-ar.or.jp/siori/search/result?n=51135
アジルサルタン錠10mg「JG」,https://www.rad-ar.or.jp/siori/search/result?n=50931
アジルサルタン錠10mg「TCK」,https://www.rad-ar.or.jp/siori/search/result?n=51842
アジルサルタン錠10mg「TCK」,https://www.rad-ar.or.jp/siori/search/result?n=52461
アジルサルタン錠10mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=50929
アジルサルタン錠10mg「サンド」,https://www.rad-ar.or.jp/siori/search/result?n=51114
アジルサルタン錠10mg「武田テバ」,https://www.rad-ar.or.jp/siori/search/result?n=50988
アジルサルタン錠10mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=51118
アジルサルタン錠10mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=50915
アジルサルタン錠10mg「トーワ」,https://www.rad-ar.or.jp/siori/search/result?n=51088
アジルサルタン錠10mg「ニプロ」,https://www.rad-ar.or.jp/siori/search/result?n=51104
アジルサルタン錠20mg「JG」,https://www.rad-ar.or.jp/siori/search/result?n=51015
アジルサルタン錠20mg「TCK」,https://www.rad-ar.or.jp/siori/search/result?n=51847
アジルサルタン錠20mg「TCK」,https://www.rad-ar.or.jp/siori/search/result?n=52467
アジルサルタン錠20mg「サワイ」,https://www.rad-ar.or.jp/siori/search/result?n=50974
アジルサルタン錠20mg「サンド」,https://www.rad-ar.or.jp/siori/search/result?n=51115
